TF,observed_score,null_mean,null_std,z_score,empirical_p_value,significant,condition
Solyc04g056310,-0.0401661,0.21560133,0.96711344,-0.26446477,0.7892107892107892,False,stat_PSTVd_S23
Solyc04g072900,2.4102423,0.49448913,0.97019625,1.9746038,0.04895104895104895,True,stat_PSTVd_S23
Solyc04g074170,-0.21384816,0.35691535,0.97023916,-0.58827096,0.5474525474525475,False,stat_PSTVd_S23
Solyc04g077980,-1.1872033,0.25564086,0.9854964,-1.4640785,0.14885114885114886,False,stat_PSTVd_S23
Solyc04g078770,-1.4337629,0.22332922,0.9732467,-1.7026434,0.08691308691308691,False,stat_PSTVd_S23
Solyc04g078840,0.4344628,0.32236958,0.9640554,0.116272576,0.9090909090909091,False,stat_PSTVd_S23
Solyc04g082480,0.52659494,0.4565437,0.9573113,0.07317497,0.936063936063936,False,stat_PSTVd_S23
Solyc05g006650,0.6275878,0.3024972,0.96225786,0.33784145,0.7332667332667333,False,stat_PSTVd_S23
Solyc05g012500,3.194366,0.23126715,1.0152466,2.9185998,0.002997002997002997,True,stat_PSTVd_S23
Solyc05g015840,-0.24698958,0.05107961,0.9645927,-0.30901042,0.7462537462537463,False,stat_PSTVd_S23
Solyc05g026180,-0.08934771,0.26664355,1.0052656,-0.35412657,0.7172827172827173,False,stat_PSTVd_S23
Solyc06g048630,-0.16254848,0.25465748,0.9850679,-0.42353016,0.6523476523476524,False,stat_PSTVd_S23
Solyc06g051840,1.6186762,0.7512059,0.9433758,0.9195384,0.34065934065934067,False,stat_PSTVd_S23
Solyc06g053350,0.6898898,0.17365436,0.9564846,0.5397216,0.6053946053946054,False,stat_PSTVd_S23
Solyc06g065040,-1.0129088,0.24539118,0.9933217,-1.2667598,0.1998001998001998,False,stat_PSTVd_S23
Solyc06g069460,-1.3400383,0.23309836,0.99552804,-1.5802033,0.11788211788211789,False,stat_PSTVd_S23
Solyc06g070900,-2.0906622,0.30115938,0.995825,-2.4018493,0.01898101898101898,True,stat_PSTVd_S23
Solyc06g071230,0.5128065,0.26513043,0.9689292,0.2556183,0.8141858141858141,False,stat_PSTVd_S23
Solyc06g071480,-0.4026579,0.3931276,0.98853076,-0.8050184,0.4085914085914086,False,stat_PSTVd_S23
Solyc06g074170,-0.23537032,0.18087918,0.99128133,-0.41991058,0.6663336663336663,False,stat_PSTVd_S23
Solyc06g082430,1.916477,0.5188347,0.95450884,1.4642528,0.13386613386613386,False,stat_PSTVd_S23
Solyc07g026680,1.1402305,0.23450054,0.96000695,0.94346195,0.34465534465534464,False,stat_PSTVd_S23
Solyc07g053570,0.5821838,0.25669184,1.0028617,0.32456312,0.7272727272727273,False,stat_PSTVd_S23
Solyc07g054220,2.7139366,0.6821068,0.9547917,2.1280346,0.03196803196803197,True,stat_PSTVd_S23
Solyc07g063420,1.314779,0.29917955,0.9729604,1.0438241,0.32967032967032966,False,stat_PSTVd_S23
Solyc07g066220,1.7723768,0.21794958,1.0361197,1.500239,0.13986013986013987,False,stat_PSTVd_S23
Solyc08g005260,-0.02735112,0.14353023,1.0047604,-0.17007175,0.8691308691308691,False,stat_PSTVd_S23
Solyc08g006020,2.8074768,0.19587657,0.9907761,2.6359136,0.007992007992007992,True,stat_PSTVd_S23
Solyc08g061130,1.5296264,0.2977108,1.0049621,1.2258329,0.22377622377622378,False,stat_PSTVd_S23
Solyc08g066510,-0.5875115,0.21381177,1.0182307,-0.7869761,0.44755244755244755,False,stat_PSTVd_S23
Solyc08g077110,1.1837627,0.30652916,1.0037371,0.8739674,0.3866133866133866,False,stat_PSTVd_S23
Solyc08g080150,-1.6124187,0.30316007,0.94468874,-2.0277352,0.04695304695304695,True,stat_PSTVd_S23
Solyc08g081610,2.164501,0.1353371,1.0314732,1.9672483,0.053946053946053944,False,stat_PSTVd_S23
Solyc09g010820,-2.2604294,0.13936709,1.0087843,-2.3788996,0.017982017982017984,True,stat_PSTVd_S23
Solyc10g018780,-1.5350189,0.18072088,0.95962834,-1.7879212,0.06593406593406594,False,stat_PSTVd_S23
Solyc10g047640,-0.14256099,0.48894966,0.98632735,-0.64026475,0.5174825174825175,False,stat_PSTVd_S23
Solyc10g078700,0.11175726,0.13551348,0.9686343,-0.02452548,0.98001998001998,False,stat_PSTVd_S23
Solyc10g081350,1.0318805,0.41878533,0.97776157,0.62703955,0.5444555444555444,False,stat_PSTVd_S23
Solyc10g084180,-0.26412073,0.27924162,1.0133615,-0.536198,0.5994005994005994,False,stat_PSTVd_S23
Solyc12g006800,-0.8135565,0.117533706,1.002084,-0.9291538,0.34065934065934067,False,stat_PSTVd_S23
Solyc12g007180,-2.4888346,0.17509589,1.0101856,-2.6370702,0.005994005994005994,True,stat_PSTVd_S23
Solyc12g009240,1.60134,0.54800963,0.9541117,1.1039907,0.26973026973026976,False,stat_PSTVd_S23
Solyc12g014610,2.3338997,0.25041538,0.9789506,2.1282835,0.028971028971028972,True,stat_PSTVd_S23
Solyc12g056510,-0.02937739,0.1698059,0.9830588,-0.20261584,0.8491508491508492,False,stat_PSTVd_S23
Solyc12g077540,-0.6373795,0.12545781,0.9678199,-0.78820175,0.4305694305694306,False,stat_PSTVd_S23
Solyc12g099370,-1.118574,0.2912032,1.0153216,-1.3885031,0.15184815184815184,False,stat_PSTVd_S23
Solyc01g065540,-0.028393175,0.16383083,1.0576351,-0.1817489,0.8471528471528471,False,stat_PSTVd_M
Solyc01g087990,0.58001834,0.19154212,1.048119,0.37064135,0.7132867132867133,False,stat_PSTVd_M
Solyc01g095460,1.3687421,0.36915937,1.0099912,0.98969454,0.3176823176823177,False,stat_PSTVd_M
Solyc01g102300,-0.48193705,0.40275297,1.0420448,-0.8489943,0.38961038961038963,False,stat_PSTVd_M
Solyc01g103050,0.036439124,0.15831019,1.042815,-0.11686739,0.9000999000999002,False,stat_PSTVd_M
Solyc01g104760,-1.6572936,0.14805387,0.9386559,-1.9233326,0.058941058941058944,False,stat_PSTVd_M
Solyc01g108080,0.74889827,0.17398398,1.0770886,0.5337669,0.5854145854145855,False,stat_PSTVd_M
Solyc02g062950,0.25254908,0.42902225,1.0509174,-0.16792297,0.8801198801198801,False,stat_PSTVd_M
Solyc02g077840,1.2260208,0.47209466,0.99118006,0.7606349,0.45754245754245754,False,stat_PSTVd_M
Solyc02g084350,0.15128288,0.24216715,1.0372308,-0.087622024,0.9400599400599401,False,stat_PSTVd_M
Solyc02g085580,0.8258479,0.28670865,1.0292723,0.5238063,0.5964035964035964,False,stat_PSTVd_M
Solyc02g090220,-1.2702674,0.46013874,1.0108814,-1.7117795,0.08591408591408592,False,stat_PSTVd_M
Solyc03g026270,1.213233,0.29404712,1.0313787,0.8912205,0.38161838161838163,False,stat_PSTVd_M
Solyc03g026280,1.3738221,0.32892373,1.0168524,1.0275812,0.3176823176823177,False,stat_PSTVd_M
Solyc03g093550,1.0572301,0.6249243,0.95461154,0.45286044,0.6453546453546454,False,stat_PSTVd_M
Solyc03g097120,-0.38763177,0.24958713,1.0265387,-0.6207451,0.5434565434565435,False,stat_PSTVd_M
Solyc03g112930,-1.0416218,0.4235823,0.9639019,-1.520076,0.12087912087912088,False,stat_PSTVd_M
Solyc03g113760,-0.58328515,0.3306842,0.9885209,-0.9245828,0.35664335664335667,False,stat_PSTVd_M
Solyc03g121660,-0.19080134,0.2280997,1.0394446,-0.40300468,0.6873126873126874,False,stat_PSTVd_M
Solyc04g005100,0.29780814,0.160803,1.0511985,0.13033232,0.8991008991008991,False,stat_PSTVd_M
Solyc04g008870,-0.13042168,0.20371385,1.0383587,-0.321792,0.7432567432567433,False,stat_PSTVd_M
Solyc04g009950,1.9951633,0.2570106,1.0629988,1.6351409,0.11188811188811189,False,stat_PSTVd_M
Solyc04g056310,-0.8427759,0.17152005,0.99865514,-1.0156618,0.2937062937062937,False,stat_PSTVd_M
Solyc04g072900,2.4012444,0.5520689,1.0066527,1.8369547,0.07192807192807193,False,stat_PSTVd_M
